_id,Facility ID,Location ID,Facility Type (Display Name),Permit,FacilityType,Facility Rating,Asset Name
21,27945,1,Picnic Site,picnic,Picnic Site,None,ASHBRIDGES BAY PARK - Picnic Site (  2)
22,29193,1,Firepit,None,Firepit,None,ASHBRIDGES BAY PARK - Firepit
23,31265,1,Washroom Facility,None,Washroom Building,None,ASHBRIDGES BAY PARK - Washroom Building and Garage
24,32210,1,Parking Lot,None,Outdoor Parking Lot,None,ASHBRIDGES BAY PARK - Parking Lot
25,47022,1,Outdoor Shower,None,Outdoor Shower,None,ASHBRIDGES BAY PARK - Washroom Building and Garage - Outdoor Shower
26,78697,1,Disc Golf Course,None,Disc Golf,None,ASHBRIDGES BAY PARK - Disc Golf Course N
27,78828,1,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,ASHBRIDGES BAY PARK - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  1)
28,78829,1,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,ASHBRIDGES BAY PARK - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  2)
29,78830,1,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,ASHBRIDGES BAY PARK - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  3)
30,78831,1,Outdoor Fitness Equipment,None,Outdoor Fitness Equipment,None,ASHBRIDGES BAY PARK - Outdoor Fitness Equipment Area - Outdoor Fitness Equipment (  4)
31,102012,1,Bottle Filling Station,None,Water Bottle Filling Count,None,ASHBRIDGES BAY PARK - Drinking Water Source (  3)
32,2462,2,Drinking Fountain,None,Drinking Fountain Count,None,BLUFFER'S PARK - Drinking Water Source (  1)
33,2464,2,Drinking Fountain,None,Drinking Fountain Count,None,BLUFFER'S PARK - Drinking Water Source (  3)
34,17042,2,Beach,None,Beach,None,BLUFFER'S PARK BEACH
35,21998,2,Bike Trail,None,Bike Trail,None,BLUFFER'S PARK TRAIL (  1)
36,29300,2,Changeroom Facility,None,Changeroom Building,None,BLUFFER'S PARK EAST WASHROOM
37,29300,2,Washroom Facility,None,Washroom Building,None,BLUFFER'S PARK EAST WASHROOM
38,29307,2,Washroom Facility,None,Washroom Building,None,BLUFFER'S PARK WEST WASHROOM
39,32220,2,Parking Lot,None,Outdoor Parking Lot,None,BLUFFER'S PARK - Parking Lot (  4)
40,32221,2,Parking Lot,None,Outdoor Parking Lot,None,BLUFFER'S PARK - Parking Lot (  3)
41,32222,2,Parking Lot,None,Outdoor Parking Lot,None,BLUFFER'S PARK - Parking Lot (  2)
42,32223,2,Parking Lot,None,Outdoor Parking Lot,None,BLUFFER'S PARK - Parking Lot (  1)
43,44903,2,Parking Lot,None,Outdoor Parking Lot,None,BLUFFER'S PARK - Parking Lot (  5)
44,58402,2,Outdoor Shower,None,Outdoor Shower,None,BLUFFER'S PARK - Outdoor Shower
45,70542,2,Picnic Site,picnic,Picnic Site,None,BLUFFER'S PARK - Picnic Site (  1)
46,70543,2,Picnic Site,picnic,Picnic Site,None,BLUFFER'S PARK - Picnic Site (  2)
47,102325,2,Outdoor Volleyball Court,None,Outdoor Volleyball Court,None,BLUFFER'S PARK -  Volleyball Court (  1)
48,102326,2,Outdoor Volleyball Court,None,Outdoor Volleyball Court,None,BLUFFER'S PARK - Volleyball Court (  2)
49,102327,2,Outdoor Volleyball Court,None,Outdoor Volleyball Court,None,BLUFFER'S PARK - Volleyball Court (  3)
50,102328,2,Outdoor Volleyball Court,None,Outdoor Volleyball Court,None,BLUFFER'S PARK - Volleyball Court (  4)
51,2219,3,Drinking Fountain,None,Drinking Fountain Count,None,JAMES GARDENS - Drinking Water Source (  1)
52,13567,3,Greenhouse,None,Greenhouse,None,JAMES GARDENS RES. UNIT COACH HOUSE AND GREENHOUSE
53,29542,3,Washroom Facility,None,Washroom Building,None,JAMES GARDENS WASHROOM
54,29853,3,Kitchen,room,Kitchen,None,JAMES GARDENS RES. UNIT COACH HOUSE AND GREENHOUSE - Kitchen (  1)
55,29854,3,Kitchen,room,Kitchen,None,EDGEHILL HOUSE - Kitchen (  2)
56,32367,3,Parking Lot,None,Outdoor Parking Lot,None,JAMES GARDENS - Parking Lot
57,42744,3,Children's Garden,None,Children's Garden,None,EDGEHILL HOUSE - Children's Garden
58,57360,3,Pond,None,Open Water,None,JAMES GARDENS - Open Water
59,102084,3,Bottle Filling Station,None,Water Bottle Filling Count,None,JAMES GARDENS - Drinking Water Source (  2)
60,22804,4,Bike Trail,None,Bike Trail,None,HIGHLAND CREEK TRAIL (  3)
61,22815,4,Bike Trail,None,Bike Trail,None,HIGHLAND CREEK TRAIL (  4)
62,22820,4,Bike Trail,None,Bike Trail,None,HIGHLAND CREEK TRAIL (  5)
63,22821,4,Bike Trail,None,Bike Trail,None,HIGHLAND CREEK TRAIL (  6)
64,22822,4,Bike Trail,None,Bike Trail,None,HIGHLAND CREEK TRAIL (  7)
65,22823,4,Bike Trail,None,Bike Trail,None,HIGHLAND CREEK TRAIL (  8)
66,22824,4,Bike Trail,None,Bike Trail,None,HIGHLAND CREEK TRAIL (  9)
67,28287,4,Picnic Site,picnic,Picnic Site,None,COLONEL DANFORTH PARK - Picnic Site (  1)
68,28288,4,Picnic Site,picnic,Picnic Site,None,COLONEL DANFORTH PARK - Picnic Site (  2)
69,28289,4,Picnic Site,picnic,Picnic Site,None,COLONEL DANFORTH PARK - Picnic Site (  3)
70,28290,4,Picnic Site,picnic,Picnic Site,None,COLONEL DANFORTH PARK - Picnic Site (  4)
71,28291,4,Picnic Site,picnic,Picnic Site,None,COLONEL DANFORTH PARK - Picnic Site (  5)
72,32247,4,Parking Lot,None,Outdoor Parking Lot,None,COLONEL DANFORTH PARK - Parking Lot (  2)
73,32248,4,Parking Lot,None,Outdoor Parking Lot,None,COLONEL DANFORTH PARK - Parking Lot (  1)
74,40318,4,Bike Trail,None,Bike Trail,None,COLONEL DANFORTH PARK TRAIL (  1)
75,40319,4,Bike Trail,None,Bike Trail,None,COLONEL DANFORTH PARK TRAIL (  2)
76,45442,4,Washroom Facility,None,Washroom Building,None,COLONEL DANFORTH PARK - Washroom Building
77,48922,4,Dogs Off-Leash Area,None,Off Leash Area,None,COLONEL DANFORTH PARK - Off Leash Area
78,57316,4,Pond,None,Open Water,None,COLONEL DANFORTH PARK - Open Water
79,103211,4,Drinking Fountain,None,Drinking Fountain Count,None,COLONEL DANFORTH PARK - Drinking Water Source
80,4606,5,Firepit,None,Firepit,None,DERRYDOWNS PARK - Firepit
81,21939,5,Bike Trail,None,Bike Trail,None,BLACK CREEK TRAIL ( 14)
82,21940,5,Bike Trail,None,Bike Trail,None,BLACK CREEK TRAIL ( 15)
83,21941,5,Bike Trail,None,Bike Trail,None,BLACK CREEK TRAIL ( 16)
84,21942,5,Bike Trail,None,Bike Trail,None,BLACK CREEK TRAIL ( 17)
85,21943,5,Bike Trail,None,Bike Trail,None,BLACK CREEK TRAIL ( 18)
86,21947,5,Bike Trail,None,Bike Trail,None,BLACK CREEK TRAIL ( 21)
87,29359,5,Washroom Facility,None,Washroom Building,None,DERRYDOWNS PARK - Washroom Building
88,32259,5,Parking Lot,None,Outdoor Parking Lot,None,DERRYDOWNS PARK - Parking Lot
89,2805,6,Dogs Off-Leash Area,None,Off Leash Area,None,MARIE CURTIS PARK - Off Leash Area
90,4073,6,Picnic Site,picnic,Picnic Site,None,MARIE CURTIS PARK - Picnic Site (  1)
91,4074,6,Picnic Site,picnic,Picnic Site,None,MARIE CURTIS PARK - Picnic Site (  2)
92,4076,6,Wading Pool,None,Wading Pool,None,MARIE CURTIS PARK - Wading Pool
93,13591,6,Fieldhouse,None,Fieldhouse,None,MARIE CURTIS PARK CONCESSION
94,13591,6,Washroom Facility,None,Washroom Building,None,MARIE CURTIS PARK CONCESSION
95,17083,6,Beach,None,Beach,None,MARIE CURTIS PARK EAST BEACH
96,22512,6,Bike Trail,None,Bike Trail,None,ETOBICOKE CREEK TRAIL ( 10)
97,22513,6,Bike Trail,None,Bike Trail,None,ETOBICOKE CREEK TRAIL ( 11)
98,24065,6,Bike Trail,None,Bike Trail,None,WATERFRONT TRAIL (  2)
99,24076,6,Bike Trail,None,Bike Trail,None,WATERFRONT TRAIL (  3)
100,24077,6,Bike Trail,None,Bike Trail,None,WATERFRONT TRAIL (  4)
101,24078,6,Bike Trail,None,Bike Trail,None,WATERFRONT TRAIL (  5)
102,24079,6,Bike Trail,None,Bike Trail,None,WATERFRONT TRAIL (  6)
103,29570,6,Washroom Facility,None,Washroom Building,None,MARIE CURTIS PARK - Washroom Building
104,32390,6,Parking Lot,None,Outdoor Parking Lot,None,MARIE CURTIS PARK - Parking Lot (  2)
105,32391,6,Parking Lot,None,Outdoor Parking Lot,None,MARIE CURTIS PARK - Parking Lot (  3)
106,32392,6,Parking Lot,None,Outdoor Parking Lot,None,MARIE CURTIS PARK - Parking Lot (  1)
107,33808,6,Playground,None,Playground Site,None,MARIE CURTIS PARK - Playground
108,36542,6,Splash Pad,None,Splash/Spray Pad,None,MARIE CURTIS PARK - Splash/Spray Pad
109,96254,6,Outdoor Volleyball Court,None,Outdoor Volleyball Court,None,MARIE CURTIS PARK - Volleyball Court (  1)
110,96255,6,Outdoor Volleyball Court,None,Outdoor Volleyball Court,None,MARIE CURTIS PARK - Volleyball Court (  2)
111,96256,6,Outdoor Volleyball Court,None,Outdoor Volleyball Court,None,MARIE CURTIS PARK - Volleyball Court (  3)
112,96257,6,Outdoor Volleyball Court,None,Outdoor Volleyball Court,None,MARIE CURTIS PARK - Volleyball Court (  4)
113,96258,6,Outdoor Volleyball Court,None,Outdoor Volleyball Court,None,MARIE CURTIS PARK - Volleyball Court (  5)
114,96259,6,Outdoor Volleyball Court,None,Outdoor Volleyball Court,None,MARIE CURTIS PARK - Volleyball Court (  6)
115,2053,7,Washroom Facility,None,Washroom Building,None,BROADLANDS COMMUNITY CENTRE
116,4778,7,Outdoor Pool,pool,Outdoor Pool Tank - C,C,BROADLANDS COMMUNITY CENTRE - Outdoor Pool Tank
117,14265,7,Outdoor Dry Pad,ice,Outdoor Dry Pad - A,A,BROADLANDS COMMUNITY CENTRE - Outdoor Artificial Ice Rink
118,29782,7,Kitchen,room,Kitchen - B,B,BROADLANDS COMMUNITY CENTRE - Kitchen
119,43575,7,Outdoor Rink,ice,Outdoor Ice Pad,None,BROADLANDS PARK - Outdoor Ice Pad
120,47935,7,Multipurpose Room,room,Room - C,C,BROADLANDS COMMUNITY CENTRE - Multipurpose Room (  1)
121,47936,7,Multipurpose Room,room,Room - C,C,BROADLANDS COMMUNITY CENTRE - Multipurpose Room (  2)
122,48149,7,Auditorium,gym,Auditorium - A,A,BROADLANDS COMMUNITY CENTRE - Auditorium
123,48150,7,Multipurpose Room,room,Room - C,C,BROADLANDS COMMUNITY CENTRE - Multipurpose Room (  3)
124,48151,7,Multipurpose Room,room,Room - C,C,BROADLANDS COMMUNITY CENTRE - Multipurpose Room (  4)
125,2336,9,Drinking Fountain,None,Drinking Fountain Count,None,EGLINTON FLATS - Drinking Water Source (  1)
126,2338,9,Drinking Fountain,None,Drinking Fountain Count,None,EGLINTON FLATS - Drinking Water Source (  3)
127,3304,9,Outdoor Bocce Court,None,Outdoor Bocce Court,None,EGLINTON FLATS - Outdoor Bocce Court (  3)
128,3305,9,Outdoor Bocce Court,None,Outdoor Bocce Court,None,EGLINTON FLATS - Outdoor Bocce Court (  2)
129,3306,9,Outdoor Bocce Court,None,Outdoor Bocce Court,None,EGLINTON FLATS - Outdoor Bocce Court (  4)
130,3307,9,Outdoor Bocce Court,None,Outdoor Bocce Court,None,EGLINTON FLATS - Outdoor Bocce Court (  1)
131,3309,9,Outdoor Tennis Court,None,Outdoor Tennis Court,None,EGLINTON FLATS - Outdoor Tennis Court (  1)
132,3310,9,Outdoor Tennis Court,None,Outdoor Tennis Court,None,EGLINTON FLATS - Outdoor Tennis Court (  2)
133,3311,9,Outdoor Tennis Court,None,Outdoor Tennis Court,None,EGLINTON FLATS - Outdoor Tennis Court (  3)
134,3312,9,Outdoor Tennis Court,None,Outdoor Tennis Court,None,EGLINTON FLATS - Outdoor Tennis Court (  4)
135,3313,9,Outdoor Tennis Court,None,Outdoor Tennis Court,None,EGLINTON FLATS - Outdoor Tennis Court (  5)
136,3314,9,Outdoor Tennis Court,None,Outdoor Tennis Court,None,EGLINTON FLATS - Outdoor Tennis Court (  6)
137,3315,9,Outdoor Tennis Court,None,Outdoor Tennis Court,None,EGLINTON FLATS - Outdoor Tennis Court (  7)
138,3316,9,Outdoor Tennis Court,None,Outdoor Tennis Court,None,EGLINTON FLATS - Outdoor Tennis Court (  8)
139,3317,9,Outdoor Tennis Court,None,Outdoor Tennis Court,None,EGLINTON FLATS - Outdoor Tennis Court (  9)
140,3318,9,Outdoor Tennis Court,None,Outdoor Tennis Court,None,EGLINTON FLATS - Outdoor Tennis Court ( 10)
141,3319,9,Outdoor Tennis Court,None,Outdoor Tennis Court,None,EGLINTON FLATS - Outdoor Tennis Court ( 11)
142,3320,9,Outdoor Tennis Court,None,Outdoor Tennis Court,None,EGLINTON FLATS - Outdoor Tennis Court ( 12)
143,13481,9,Washroom Facility,None,Washroom Building,None,EGLINTON FLATS NORTHWEST SERVICE BUILDING
144,13482,9,Washroom Facility,None,Washroom Building,None,EGLINTON FLATS SOUTHEAST SPORTS PAVILION
145,13482,9,Fieldhouse,None,Fieldhouse,None,EGLINTON FLATS SOUTHEAST SPORTS PAVILION
146,17752,9,Sport Field,sport,Football Field - Premier,P,EGLINTON FLATS - Football Field
147,18274,9,Multipurpose Field,None,Multipurpose Field - Premier,P,EGLINTON FLATS - Multipurpose Field (  9)
148,18276,9,Multipurpose Field,None,Multipurpose Field - Premier,P,EGLINTON FLATS - Multipurpose Field (  3)
149,18277,9,Multipurpose Field,None,Multipurpose Field - Premier,P,EGLINTON FLATS - Multipurpose Field (  4)
150,18278,9,Multipurpose Field,None,Multipurpose Field - Premier,P,EGLINTON FLATS - Rugby Field
151,18279,9,Multipurpose Field,None,Multipurpose Field - Premier,P,EGLINTON FLATS - Multipurpose Field ( 12)
152,18280,9,Multipurpose Field,None,Multipurpose Field - Premier,P,EGLINTON FLATS - Multipurpose Field ( 11)
153,18281,9,Multipurpose Field,None,Multipurpose Field - Premier,P,EGLINTON FLATS - Multipurpose Field ( 10)
154,18282,9,Multipurpose Field,None,Multipurpose Field - Premier,P,EGLINTON FLATS - Multipurpose Field (  1)
155,18283,9,Multipurpose Field,None,Multipurpose Field - Premier,P,EGLINTON FLATS - Multipurpose Field (  5)
156,18284,9,Multipurpose Field,None,Multipurpose Field - Premier,P,EGLINTON FLATS - Multipurpose Field (  2)
157,22461,9,Bike Trail,None,Bike Trail,None,EGLINTON FLATS TRAIL (  1)
158,22462,9,Bike Trail,None,Bike Trail,None,EGLINTON FLATS TRAIL (  2)
159,22463,9,Bike Trail,None,Bike Trail,None,EGLINTON FLATS TRAIL (  3)
160,29401,9,Washroom Facility,None,Washroom Building,None,EGLINTON FLATS NORTHWEST SPORTS PAVILION
161,32292,9,Parking Lot,None,Outdoor Parking Lot,None,EGLINTON FLATS - Parking Lot (  2)
162,32293,9,Parking Lot,None,Outdoor Parking Lot,None,EGLINTON FLATS - Parking Lot (  1)
163,34041,9,Playground,None,Playground Site,None,EGLINTON FLATS - Playground
164,43622,9,Multipurpose Field,None,Multipurpose Field - Premier,P,EGLINTON FLATS - Multipurpose Field ( 13)
165,48229,9,Multipurpose Room,room,Room - C,C,EGLINTON FLATS NORTHWEST SPORTS PAVILION - Multipurpose Room
166,57333,9,Pond,None,Open Water,None,EGLINTON FLATS - Open Water
167,102190,9,Drinking Fountain,None,Drinking Fountain Count,None,EGLINTON FLATS - Drinking Water Source (  4)
168,4491,10,Firepit,None,Firepit,None,ETIENNE BRULE PARK - Firepit
169,4492,10,Picnic Site,picnic,Picnic Site,None,ETIENNE BRULE PARK - Picnic Site
170,22926,10,Bike Trail,None,Bike Trail,None,HUMBER RIVER RECREATIONAL TRAIL ( 15)
171,22937,10,Bike Trail,None,Bike Trail,None,HUMBER RIVER RECREATIONAL TRAIL ( 16)
172,22959,10,Bike Trail,None,Bike Trail,None,HUMBER RIVER RECREATIONAL TRAIL ( 18)
173,22970,10,Bike Trail,None,Bike Trail,None,HUMBER RIVER RECREATIONAL TRAIL ( 19)
174,23000,10,Bike Trail,None,Bike Trail,None,HUMBER RIVER RECREATIONAL TRAIL ( 23)
175,23001,10,Bike Trail,None,Bike Trail,None,HUMBER RIVER RECREATIONAL TRAIL ( 24)
176,23002,10,Bike Trail,None,Bike Trail,None,HUMBER RIVER RECREATIONAL TRAIL ( 25)
177,23003,10,Bike Trail,None,Bike Trail,None,HUMBER RIVER RECREATIONAL TRAIL ( 26)
178,23004,10,Bike Trail,None,Bike Trail,None,HUMBER RIVER RECREATIONAL TRAIL ( 27)
179,23005,10,Bike Trail,None,Bike Trail,None,HUMBER RIVER RECREATIONAL TRAIL ( 28)
180,29407,10,Washroom Facility,None,Washroom Building,None,ETIENNE BRULE PARK - Washroom Building
181,32298,10,Parking Lot,None,Outdoor Parking Lot,None,ETIENNE BRULE PARK - Parking Lot
182,41106,10,Bottle Filling Station,None,Water Bottle Filling Count,None,ETIENNE BRULE PARK - Drinking Water Source (  2)
183,41106,10,Bottle Filling Station,None,Water Bottle Filling Count,None,ETIENNE BRULE PARK - Drinking Water Source (  2)
184,2819,11,Dogs Off-Leash Area,None,Off Leash Area,None,G. ROSS LORD PARK - Off Leash Area
185,4435,11,Firepit,None,Firepit,None,G. ROSS LORD PARK - Firepit
186,4436,11,Picnic Site,picnic,Picnic Site,None,G. ROSS LORD PARK - Picnic Site (  1)
187,13267,11,Drinking Fountain,None,Drinking Fountain Count,None,G. ROSS LORD PARK - Drinking Water Source (  1)
188,13268,11,Drinking Fountain,None,Drinking Fountain Count,None,G. ROSS LORD PARK - Drinking Water Source (  2)
189,13269,11,Drinking Fountain,None,Drinking Fountain Count,None,G. ROSS LORD PARK - Drinking Water Source (  3)
190,13270,11,Drinking Fountain,None,Drinking Fountain Count,None,G. ROSS LORD PARK - Drinking Water Source (  4)
191,13493,11,Washroom Facility,None,Washroom Building,None,G. ROSS LORD PARK SPORTS PAVILLION
192,13493,11,Fieldhouse,None,Fieldhouse,None,G. ROSS LORD PARK SPORTS PAVILLION
193,13763,11,Riding Stable,None,Riding Stable,None,G. ROSS LORD PARK - Riding Stable
194,18040,11,Cricket Pitch Field,sport,Cricket Pitch Field - Premier,P,G. ROSS LORD PARK - Cricket Pitch Field (  1)
195,18041,11,Cricket Pitch Field,sport,Cricket Pitch Field - Premier,P,G. ROSS LORD PARK - Cricket Pitch Field (  2)
196,18155,11,Sport Field,sport,Soccer Field - Premier,P,G. ROSS LORD PARK - Soccer Field (  1)
197,18156,11,Sport Field,sport,Soccer Field - Premier,P,G. ROSS LORD PARK - Soccer Field (  2)
198,18157,11,Sport Field,sport,Soccer Field - Premier,P,G. ROSS LORD PARK - Soccer Field (  3)
199,22562,11,Bike Trail,None,Bike Trail,None,FINCH CORRIDOR TRAIL (  4)
200,22573,11,Bike Trail,None,Bike Trail,None,FINCH CORRIDOR TRAIL (  5)
201,22584,11,Bike Trail,None,Bike Trail,None,FINCH CORRIDOR TRAIL (  6)
202,22592,11,Bike Trail,None,Bike Trail,None,FINCH CORRIDOR TRAIL (  7)
203,22596,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL (  1)
204,22597,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 10)
205,22598,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 11)
206,22600,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 13)
207,22601,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 14)
208,22602,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 15)
209,22603,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 16)
210,22605,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 18)
211,22606,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 19)
212,22607,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL (  2)
213,22608,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 20)
214,22609,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 21)
215,22611,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 23)
216,22612,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 24)
217,22613,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 25)
218,22614,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 26)
219,22615,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 27)
220,22616,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 28)
221,22617,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 29)
222,22618,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL (  3)
223,22619,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 30)
224,22620,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 31)
225,22621,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 32)
226,22623,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 34)
227,22624,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 35)
228,22625,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 36)
229,22626,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 37)
230,22627,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 38)
231,22628,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 39)
232,22629,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL (  4)
233,22630,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 40)
234,22631,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 41)
235,22632,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 42)
236,22633,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 43)
237,22635,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 45)
238,22638,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 46)
239,22639,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 12)
240,22640,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL (  5)
241,22643,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL (  6)
242,22645,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL (  8)
243,22646,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL (  9)
244,32308,11,Parking Lot,None,Outdoor Parking Lot,None,G. ROSS LORD PARK - Parking Lot (  7)
245,32309,11,Parking Lot,None,Outdoor Parking Lot,None,G. ROSS LORD PARK - Parking Lot (  1)
246,32310,11,Parking Lot,None,Outdoor Parking Lot,None,G. ROSS LORD PARK - Parking Lot (  6)
247,32311,11,Parking Lot,None,Outdoor Parking Lot,None,G. ROSS LORD PARK - Parking Lot (  8)
248,32312,11,Parking Lot,None,Outdoor Parking Lot,None,G. ROSS LORD PARK - Parking Lot (  5)
249,32313,11,Parking Lot,None,Outdoor Parking Lot,None,G. ROSS LORD PARK - Parking Lot (  4)
250,32314,11,Parking Lot,None,Outdoor Parking Lot,None,G. ROSS LORD PARK - Parking Lot (  3)
251,32315,11,Parking Lot,None,Outdoor Parking Lot,None,G. ROSS LORD PARK - Parking Lot (  2)
252,40440,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 47)
253,40442,11,Bike Trail,None,Bike Trail,None,G. ROSS LORD PARK TRAIL ( 49)
254,49565,11,Picnic Site,picnic,Picnic Site,None,G. ROSS LORD PARK - Picnic Site (  3)
255,49566,11,Picnic Site,picnic,Picnic Site,None,G. ROSS LORD PARK - Picnic Site (  2)
256,57335,11,Pond,None,Open Water,None,G. ROSS LORD PARK - Open Water (  1)
257,57336,11,Pond,None,Open Water,None,G. ROSS LORD PARK - Open Water (  2)
258,57337,11,Pond,None,Open Water,None,G. ROSS LORD PARK - Open Water (  3)
259,78094,11,Practice Wicket,None,Practice Wicket,None,G. ROSS LORD PARK - Practice Wicket (  1)
260,78095,11,Practice Wicket,None,Practice Wicket,None,G. ROSS LORD PARK - Practice Wicket (  2)
261,78096,11,Practice Wicket,None,Practice Wicket,None,G. ROSS LORD PARK - Practice Wicket (  3)
262,78097,11,Practice Wicket,None,Practice Wicket,None,G. ROSS LORD PARK - Practice Wicket (  4)
263,78098,11,Practice Wicket,None,Practice Wicket,None,G. ROSS LORD PARK - Practice Wicket (  5)
264,10095,12,Practice Wicket,None,Practice Wicket - C,C,CALEDONIA PARK - Practice Wicket
265,17696,12,Ball Diamond,sport,Baseball Diamond Field - C,C,CALEDONIA PARK - SANTO DOMINGO BASEBALL DIAMOND
266,17697,12,Multipurpose Field,None,Multipurpose Field - C,C,CALEDONIA PARK - Multipurpose Field
